3,0.15,0.5705882352941176,3650,8500,0.5393333333333333,691,1500,,"
"
6,0.15,0.3391764705882353,5617,8500,0.22133333333333338,1168,1500,,"
"
9,0.15,0.3218823529411765,5764,8500,0.03733333333333333,1444,1500,,"
"
15,0.15,0.32247058823529406,5759,8500,0.0,1500,1500,,"
"
25,0.15,0.32247058823529406,5759,8500,0.0,1500,1500,,"
"
40,0.15,0.32247058823529406,5759,8500,0.0,1500,1500,,"
"
3,0.3,0.5451428571428572,3184,7000,0.5293333333333333,1412,3000,,"
"
6,0.3,0.30685714285714283,4852,7000,0.2433333333333333,2270,3000,,"
"
9,0.3,0.259,5187,7000,0.06733333333333336,2798,3000,,"
"
15,0.3,0.26228571428571423,5164,7000,0.0016666666666667052,2995,3000,,"
"
25,0.3,0.26257142857142857,5162,7000,0.0,3000,3000,,"
"
40,0.3,0.26257142857142857,5162,7000,0.0,3000,3000,,"
"
3,0.45,0.5498181818181818,2476,5500,0.5335555555555556,2099,4500,,"
"
6,0.45,0.3049090909090909,3823,5500,0.24955555555555553,3377,4500,,"
"
9,0.45,0.24545454545454548,4150,5500,0.08511111111111114,4117,4500,,"
"
15,0.45,0.24545454545454548,4150,5500,0.006444444444444475,4471,4500,,"
"
25,0.45,0.2465454545454545,4144,5500,0.0,4500,4500,,"
"
40,0.45,0.2465454545454545,4144,5500,0.0,4500,4500,,"
"
3,0.6,0.53425,1863,4000,0.5305,2817,6000,,"
"
6,0.6,0.2825,2870,4000,0.25683333333333336,4459,6000,,"
"
9,0.6,0.21799999999999997,3128,4000,0.09450000000000003,5433,6000,,"
"
15,0.6,0.22050000000000003,3118,4000,0.008333333333333304,5950,6000,,"
"
25,0.6,0.22375,3105,4000,0.0004999999999999449,5997,6000,,"
"
40,0.6,0.22475,3101,4000,0.0,6000,6000,,"
"
3,0.75,0.5352,1162,2500,0.5258666666666667,3556,7500,,"
"
6,0.75,0.276,1810,2500,0.2573333333333333,5570,7500,,"
"
9,0.75,0.2156,1961,2500,0.09933333333333338,6755,7500,,"
"
15,0.75,0.2108,1973,2500,0.00666666666666671,7450,7500,,"
"
25,0.75,0.2108,1973,2500,0.0,7500,7500,,"
"
40,0.75,0.2108,1973,2500,0.0,7500,7500,,"
"
3,0.9,0.515,485,1000,0.5306666666666666,4224,9000,,"
"
6,0.9,0.28300000000000003,717,1000,0.25822222222222224,6676,9000,,"
"
9,0.9,0.19199999999999995,808,1000,0.10255555555555551,8077,9000,,"
"
15,0.9,0.19899999999999995,801,1000,0.008444444444444477,8924,9000,,"
"
25,0.9,0.20299999999999996,797,1000,0.0005555555555555314,8995,9000,,"
"
40,0.9,0.20199999999999996,798,1000,0.0,9000,9000,,"
"
